"","sexo","region","edad","yoprcor","s31a1","zona","e6a","o15","yoprcoripc"
"112",2,7,38,5e+05,7,1,13,4,657446.232923035
"113",2,7,64,50000,7,1,9,5,65744.6232923035
"114",2,7,52,4e+05,7,1,9,3,525956.986338428
"115",1,7,30,5e+05,7,1,9,5,657446.232923035
"116",1,7,74,4e+05,7,1,11,2,525956.986338428
"117",1,7,28,5e+05,7,1,15,5,657446.232923035
"118",2,7,26,320000,7,1,15,5,420765.589070742
"119",1,7,62,1e+06,7,1,14,2,1314892.46584607
"120",2,7,58,2e+05,6,1,14,2,262978.493169214
"121",1,7,38,3e+05,7,1,14,2,394467.739753821
"122",1,7,28,2e+05,7,1,14,2,262978.493169214
"123",2,7,25,250000,7,1,14,5,328723.116461518
"124",1,7,35,5e+05,7,1,9,8,657446.232923035
"125",2,7,32,7e+05,7,1,12,5,920424.726092249
"126",1,7,40,1e+06,7,1,13,5,1314892.46584607
"127",2,7,35,250000,7,1,13,2,328723.116461518
"128",2,7,55,5e+05,7,1,9,3,657446.232923035
"129",1,7,33,624399,7,1,15,5,821017.54078182
"130",2,7,44,270000,7,1,11,5,355020.965778439
"131",2,7,26,4e+05,7,1,9,4,525956.986338428
"132",2,7,66,270000,7,1,8,5,355020.965778439
"133",1,7,67,270000,7,1,8,5,355020.965778439
"134",1,7,61,480000,7,1,9,3,631148.383606114
"135",1,7,73,260000,7,1,7,5,341872.041119978
"136",2,7,41,950000,7,1,11,8,1249147.84255377
"137",1,7,64,270000,7,1,7,2,355020.965778439
"138",2,7,22,350000,7,1,14,4,460212.363046125
"139",2,7,51,270000,1,1,9,5,355020.965778439
"140",2,7,24,270000,7,1,9,5,355020.965778439
"141",1,7,45,230000,7,1,7,5,302425.267144596
"142",2,7,27,130000,7,1,15,7,170936.020559989
"143",1,7,57,2e+05,7,1,7,5,262978.493169214
"144",2,7,51,150000,7,1,7,2,197233.869876911
"145",1,7,25,5e+05,7,1,12,5,657446.232923035
"146",2,7,24,450000,7,1,11,5,591701.609630732
"147",1,7,58,306000,6,1,11,5,402357.094548898
"148",2,7,36,3e+05,7,1,12,3,394467.739753821
"149",1,7,25,270000,7,1,11,5,355020.965778439
"150",1,7,56,270000,7,1,11,5,355020.965778439
"151",2,7,53,270000,7,1,9,5,355020.965778439
"152",1,7,23,270000,7,1,9,5,355020.965778439
"153",1,7,57,3e+05,7,1,7,4,394467.739753821
